mail_id,label,prob,true_label
680,legit,0%,0
681,legit,0%,0
682,legit,0%,0
684,legit,0%,0
685,legit,0%,0
687,legit,0%,0
688,legit,0%,0
689,legit,0%,0
690,legit,0%,0
692,legit,0%,0
694,legit,0%,0
695,legit,0%,0
696,legit,0%,0
697,legit,0%,0
698,legit,0%,0
700,legit,0%,0
701,legit,0%,0
702,legit,0%,0
703,legit,0%,0
704,legit,0%,0
705,legit,0%,0
706,legit,0%,0
707,legit,5%,0
708,legit,0%,0
710,legit,0%,0
714,legit,0%,0
717,legit,0%,0
718,legit,0%,0
719,legit,0%,0
720,legit,10%,0
721,legit,0%,0
725,legit,0%,0
726,legit,0%,0
729,legit,0%,0
730,legit,0%,0
731,legit,0%,0
732,legit,0%,0
733,legit,0%,0
734,legit,0%,0
1728,phishing,95%,1
1731,phishing,85%,1
1746,phishing,95%,1
1784,phishing,95%,1
1785,phishing,95%,1
1800,phishing,95%,1
1801,phishing,95%,1
1816,phishing,95%,1
1828,phishing,95%,1
1832,phishing,85%,1
1836,legit,10%,1
1845,legit,5%,1
1847,phishing,95%,1
1857,phishing,95%,1
1882,phishing,95%,1
1884,legit,0%,1
1885,phishing,85%,1
1890,phishing,90%,1
1891,phishing,95%,1
1893,phishing,95%,1
1894,phishing,95%,1
1899,phishing,90%,1
1909,phishing,90%,1
1912,phishing,95%,1
1926,phishing,95%,1
1928,phishing,85%,1
1931,legit,0%,1
1936,legit,10%,1
1942,legit,0%,1
1947,phishing,85%,1
1955,phishing,85%,1
1956,phishing,85%,1
1957,phishing,90%,1
1958,phishing,95%,1
1959,phishing,95%,1
1960,phishing,95%,1
1964,legit,10%,1
1968,legit,0%,1
1995,legit,10%,1
1997,phishing,85%,1
2006,legit,10%,1
2008,phishing,85%,1
2009,phishing,95%,1
2021,phishing,95%,1
2022,legit,10%,1
2023,legit,10%,1
2026,legit,10%,1
2033,phishing,95%,1
2036,phishing,95%,1
2044,phishing,90%,1
2059,legit,0%,1
2069,phishing,85%,1
2070,phishing,95%,1
2084,phishing,95%,1
2087,phishing,95%,1
2096,legit,10%,1
2097,phishing,85%,1
2099,phishing,95%,1
2100,phishing,95%,1
2104,phishing,95%,1
2111,phishing,95%,1
2113,phishing,85%,1
2118,phishing,95%,1
2124,legit,0%,1
2127,legit,0%,1
2137,phishing,95%,1
2138,phishing,95%,1
2139,phishing,85%,1
2147,phishing,85%,1
2151,phishing,95%,1
2168,phishing,95%,1
2171,phishing,85%,1
2179,phishing,95%,1
2188,legit,10%,1
2207,phishing,95%,1
2226,legit,10%,1
2232,phishing,95%,1
2250,phishing,95%,1
2252,phishing,85%,1
2256,phishing,95%,1
2265,legit,10%,1
2270,phishing,75%,1
2272,legit,10%,1
2275,legit,10%,1
2287,phishing,90%,1
2292,phishing,95%,1
2309,legit,10%,1
2310,legit,10%,1
2311,phishing,85%,1
2314,legit,10%,1
2317,legit,10%,1
2318,legit,10%,1
2326,phishing,95%,1
2330,phishing,95%,1
2335,phishing,95%,1
2345,phishing,95%,1
2371,phishing,95%,1
2379,phishing,95%,1
2382,phishing,95%,1
2396,legit,10%,1
2399,phishing,95%,1
2401,legit,10%,1
2422,phishing,95%,1
2423,legit,10%,1
2435,legit,10%,1
2440,phishing,95%,1
2441,legit,10%,1
2443,phishing,95%,1
2448,phishing,95%,1
2450,legit,10%,1
2462,phishing,95%,1
2463,phishing,95%,1
2479,legit,10%,1
2480,phishing,85%,1
2488,phishing,95%,1
2495,legit,10%,1
2498,phishing,90%,1
2515,phishing,95%,1
2517,phishing,95%,1
2519,phishing,85%,1
2557,phishing,95%,1
2565,phishing,95%,1
2575,phishing,95%,1
2580,phishing,95%,1
2581,phishing,95%,1
2583,phishing,95%,1
2589,phishing,90%,1
2591,phishing,95%,1
2602,phishing,95%,1
2625,phishing,95%,1
2636,phishing,95%,1
2647,legit,10%,1
2664,phishing,95%,1
2666,legit,10%,1
2671,phishing,95%,1
2675,phishing,95%,1
2680,phishing,95%,1
2695,phishing,95%,1
2713,phishing,95%,1
2715,phishing,95%,1
2719,phishing,95%,1
2726,phishing,95%,1
2728,phishing,95%,1
2729,phishing,95%,1
2732,phishing,95%,1
2733,phishing,95%,1
2734,phishing,90%,1
2747,phishing,95%,1
